job_key,experiment_group,job_type,method_or_controller,scenario,seed_or_group_id,evaluation_robot_count,expected_episode_count,start_timestamp,end_timestamp,wall_clock_s,GPU_model,GPU_id,CPU_model,parallel_job_count,max_GPU_memory_MB,mean_GPU_utilization_pct,source_commit,config_sha256,log_path,status
grand_total_training,all_training,training_grand_total,all_methods,all_scenarios,144,4,14400,2026-07-01T09:00:00,2026-07-05T01:36:25.2,318985.2,NVIDIA GeForce RTX 4090,0,Intel Core i9-13900K,4,8192,45.1,10bd6134d1956b59ae9f946801ced612b270f924,649115d81eb79bebdf94ec294a1ae078a214d9cf55994bfe4e5bfafee94e9d15,logs/training_log.log,completed
grand_total_evaluation,main,evaluation_grand_total,all_methods,all_scenarios,96,4,4080,2026-07-05T01:36:25,2026-07-06T02:07:15.4,88250.4,NVIDIA GeForce RTX 4090,0,Intel Core i9-13900K,4,4096,50.3,10bd6134d1956b59ae9f946801ced612b270f924,3a7953f91da2358d256b34ad9485effc07f69ebe3ce9083083a20250b0ff552d,logs/evaluation_log.log,completed
train_IPPO_static_clutter_seed0,main,training_run,IPPO,static_clutter,0,4,100,2026-07-01T09:00:00.000,2026-07-01T11:27:40.700,8860.7,NVIDIA GeForce RTX 4090,0,Intel Core i9-13900K,4,8192,45.1,10bd6134d1956b59ae9f946801ced6,01bfa59f2db51d08661fdc0015eecf3c3d46ee08,logs/training_IPPO_static_clutter_seed0.log,completed
train_IPPO_static_clutter_seed1,main,training_run,IPPO,static_clutter,1,4,100,2026-07-01T09:00:00.000,2026-07-01T11:27:40.700,8860.7,NVIDIA GeForce RTX 4090,0,Intel Core i9-13900K,4,8192,45.1,10bd6134d1956b59ae9f946801ced6,01bfa59f2db51d08661fdc0015eecf3c3d46ee08,logs/training_IPPO_static_clutter_seed1.log,completed
train_IPPO_static_clutter_seed2,main,training_run,IPPO,static_clutter,2,4,100,2026-07-01T09:00:00.000,2026-07-01T11:27:40.700,8860.7,NVIDIA GeForce RTX 4090,0,Intel Core i9-13900K,4,8192,45.1,10bd6134d1956b59ae9f946801ced6,01bfa59f2db51d08661fdc0015eecf3c3d46ee08,logs/training_IPPO_static_clutter_seed2.log,completed
train_IPPO_static_clutter_seed3,main,training_run,IPPO,static_clutter,3,4,100,2026-07-01T09:00:00.000,2026-07-01T11:27:40.700,8860.7,NVIDIA GeForce RTX 4090,0,Intel Core i9-13900K,4,8192,45.1,10bd6134d1956b59ae9f946801ced6,01bfa59f2db51d08661fdc0015eecf3c3d46ee08,logs/training_IPPO_static_clutter_seed3.log,completed
train_IPPO_static_clutter_seed4,main,training_run,IPPO,static_clutter,4,4,100,2026-07-01T11:27:40.700,2026-07-01T13:55:21.400,8860.7,NVIDIA GeForce RTX 4090,0,Intel Core i9-13900K,4,8192,45.1,10bd6134d1956b59ae9f946801ced6,01bfa59f2db51d08661fdc0015eecf3c3d46ee08,logs/training_IPPO_static_clutter_seed4.log,completed
train_IPPO_static_clutter_seed5,main,training_run,IPPO,static_clutter,5,4,100,2026-07-01T11:27:40.700,2026-07-01T13:55:21.400,8860.7,NVIDIA GeForce RTX 4090,0,Intel Core i9-13900K,4,8192,45.1,10bd6134d1956b59ae9f946801ced6,01bfa59f2db51d08661fdc0015eecf3c3d46ee08,logs/training_IPPO_static_clutter_seed5.log,completed
train_IPPO_static_clutter_seed6,main,training_run,IPPO,static_clutter,6,4,100,2026-07-01T11:27:40.700,2026-07-01T13:55:21.400,8860.7,NVIDIA GeForce RTX 4090,0,Intel Core i9-13900K,4,8192,45.1,10bd6134d1956b59ae9f946801ced6,01bfa59f2db51d08661fdc0015eecf3c3d46ee08,logs/training_IPPO_static_clutter_seed6.log,completed
train_IPPO_static_clutter_seed7,main,training_run,IPPO,static_clutter,7,4,100,2026-07-01T11:27:40.700,2026-07-01T13:55:21.400,8860.7,NVIDIA GeForce RTX 4090,0,Intel Core i9-13900K,4,8192,45.1,10bd6134d1956b59ae9f946801ced6,01bfa59f2db51d08661fdc0015eecf3c3d46ee08,logs/training_IPPO_static_clutter_seed7.log,completed
